Trend data for Model:	
Model time base:		3
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																				
108		3.786778		3.78675		40.18194		25.10028		13.4079		22.78676		22.78196		78.90057		53.20427		54		8.684193		40.04953		40		22.76793		87.41736		98.57829		59.78957		52.79018		52.77825		61.75607		35.30753		35.3		98.44271		48.5217		48.51		52.91845
111		3.786188		3.78675		40.15258		2.924594		13.4079		22.78967		22.79053		78.90804		53.21032		54		8.694357		40.04308		40		22.76415		108.1484		98.41897		54.63565		52.79639		52.8543		61.05787		35.32565		35.3		98.70684		48.50334		48.51		52.73486
114		3.787239		3.78675		40.20526		25.13843		13.4079		22.77342		22.75671		78.89313		53.17182		54		8.576371		40.05806		40		22.7732		87.57455		98.42328		59.77317		52.78594		52.75982		61.89851		35.3017		35.3		98.36448		48.51248		48.51		52.8262
117		3.786264		3.78675		40.15639		2.911385		13.4079		22.70712		22.75313		78.96412		53.12624		54		8.437897		40.0695		40		22.78016		108.1989		98.29914		54.65027		52.78955		52.83391		61.19805		35.29931		35.3		98.3319		48.52158		48.51		52.9171
120		3.787036		3.78675		40.19493		25.15392		13.4079		22.79414		22.75671		78.88522		53.18576		54		8.601941		40.06637		40		22.77837		87.50348		98.41049		59.84316		52.82321		52.81154		61.75931		35.29881		35.3		98.32692		48.50596		48.51		52.76084
123		3.786052		3.78675		40.14562		2.827146		13.4079		22.792		22.76191		78.89735		53.13688		54		8.453666		40.07427		40		22.78322		108.2537		98.52717		54.75009		52.75489		52.6415		62.77916		35.32927		35.3		98.76905		48.49521		48.51		52.65323
126		3.785772		3.78675		40.13156		25.10849		13.4079		22.72729		22.77707		78.97163		53.14933		54		8.481875		40.04095		40		22.76331		87.46285		98.41172		59.91081		52.75501		52.77087		61.48939		35.30413		35.3		98.40982		48.52146		48.51		52.9156
129		3.786481		3.78675		40.16687		2.852239		13.4079		22.84947		22.76285		78.83078		53.12624		54		8.407596		40.03576		40		22.76028		108.3723		98.62367		54.798		52.80844		52.83668		61.36574		35.29653		35.3		98.3016		48.52		48.51		52.90102
132		3.787316		3.78675		40.20865		25.13302		13.4079		22.80135		22.78026		78.89196		53.0945		54		8.308441		40.04027		40		22.76307		87.60738		98.36048		59.91008		52.81509		52.66702		63.12871		35.3118		35.3		98.52333		48.51903		48.51		52.89131
135		3.784964		3.78675		40.09097		2.875497		13.4079		22.77119		22.72538		78.87175		53.07847		54		8.254569		40.08748		40		22.79149		108.2872		98.48736		54.83558		52.82592		52.96042		60.30579		35.31169		35.3		98.52473		48.50247		48.51		52.72557
138		3.787207		3.78675		40.20344		25.10832		13.4079		22.80352		22.77604		78.88898		53.11955		54		8.364969		40.0137		40		22.74732		87.65051		98.58549		60.00807		52.79462		52.76904		61.90924		35.30848		35.3		98.48138		48.4964		48.51		52.66478
141		3.78658		3.78675		40.17194		2.881694		13.4079		22.76522		22.763		78.93015		53.04083		54		8.129972		40.07795		40		22.78599		108.3605		98.55976		54.88586		52.81414		52.81822		61.61072		35.29272		35.3		98.25684		48.49478		48.51		52.6487
144		3.785687		3.78675		40.1269		25.11212		13.4079		22.77516		22.77747		78.94006		53.0409		54		8.121899		40.07457		40		22.78407		87.608		98.59749		60.06979		52.80467		52.60706		63.62803		35.32307		35.3		98.69654		48.49101		48.51		52.61084
147		3.786236		3.78675		40.15435		2.880582		13.4079		22.77363		22.79191		78.95215		53.02808		54		8.076677		40.0333		40		22.7594		108.3326		98.4952		54.92124		52.77878		52.75025		61.93642		35.3182		35.3		98.62821		48.47841		48.51		52.48486
150		3.78752		3.78675		40.2184		25.09695		13.4079		22.82253		22.79722		78.90954		53.006		54		8.004697		40.06758		40		22.78007		87.68081		98.64236		60.1098		52.76326		52.86077		60.67801		35.29513		35.3		98.29911		48.49732		48.51		52.6739
153		3.784916		3.78675		40.08806		2.924873		13.4079		22.81992		22.80664		78.935		52.99731		54		7.971231		40.08705		40		22.79188		108.3629		98.58959		54.98554		52.77104		52.69742		62.38751		35.31131		35.3		98.53486		48.50828		48.51		52.78345
156		3.786083		3.78675		40.14605		25.11681		13.4079		22.77171		22.78813		78.96629		52.89914		54		7.680143		40.08816		40		22.79264		87.7779		98.59775		60.12003		52.81249		52.67177		63.05886		35.32203		35.3		98.69259		48.50959		48.51		52.79652
159		3.784479		3.78675		40.06569		11.78646		13.4079		22.7513		22.75878		78.95782		52.97783		54		7.898203		40.09483		40		22.79674		100.9695		98.46963		56.74585		52.7487		52.76299		61.51003		35.31986		35.3		98.66268		48.50999		48.51		52.80054
162		3.786278		3.78675		40.15517		12.0465		13.4079		22.78118		22.7634		78.92885		53.0858		54		8.200662		40.0471		40		22.76818		99.22556		98.51183		57.11573		52.71969		52.88224		60.02713		35.30654		35.3		98.47172		48.51406		48.51		52.84116
165		3.785467		3.78675		40.11417		11.70323		13.4079		22.75999		22.75684		78.94332		52.97313		54		7.867507		40.09266		40		22.79561		99.6266		98.46751		56.94758		52.78764		52.75942		61.93202		35.29873		35.3		98.36034		48.51102		48.51		52.81085
168		3.787158		3.78675		40.19846		12.09391		13.4079		22.82614		22.78827		78.91076		53.00757		54		7.958125		39.99769		40		22.7387		99.31977		98.47627		56.97563		52.77401		52.8641		60.74631		35.28716		35.3		98.19533		48.50868		48.51		52.78747
171		3.787383		3.78675		40.20966		12.00464		13.4079		22.76203		22.76784		78.95444		53.07455		54		8.142221		40.01798		40		22.75093		99.5816		98.68683		56.91606		52.82032		52.89675		60.88281		35.3181		35.3		98.64247		48.51339		48.51		52.83461
174		3.785469		3.78675		40.11322		12.15036		13.4079		22.77684		22.79678		78.96343		52.99669		54		7.909267		40.05546		40		22.7735		99.05588		98.67295		57.00125		52.76575		52.96678		59.63735		35.27997		35.3		98.09363		48.52426		48.51		52.94325
177		3.787112		3.78675		40.19518		12.07257		13.4079		22.78053		22.7583		78.91959		52.96877		54		7.81976		40.11956		40		22.81201		99.30189		98.44457		56.84081		52.81629		52.94768		60.33246		35.30431		35.3		98.4451		48.50344		48.51		52.73513
180		3.786515		3.78675		40.16489		12.17725		13.4079		22.74612		22.74102		78.93042		52.95287		54		7.764739		40.00309		40		22.74218		99.07583		98.48303		56.86376		52.8482		52.77183		62.40954		35.29379		35.3		98.29339		48.51327		48.51		52.83349
183		3.785678		3.78675		40.12265		11.90117		13.4079		22.72704		22.76617		78.97027		52.92122		54		7.664563		40.03253		40		22.75986		99.29998		98.12491		56.67526		52.82199		52.71926		62.67328		35.29891		35.3		98.36663		48.51839		48.51		52.88469
186		3.784507		3.78675		40.06368		12.32519		13.4079		22.81261		22.76079		78.87599		52.9925		54		7.860709		39.95911		40		22.71583		98.99385		98.26254		56.74343		52.82888		52.75507		62.38638		35.30135		35.3		98.40102		48.50178		48.51		52.71853
