*Alarm tag	drawing
18_TT1280	WELL_D2_PROD
18_TT1280	WELL_D2_PROD
18_TT1280	WELL_D2_PROD
18_PT1280	WELL_D2_PROD
18_PT1280	WELL_D2_PROD
18_PT1280	WELL_D2_PROD
18_TT1281	WELL_D2_PROD
18_TT1281	WELL_D2_PROD
18_TT1281	WELL_D2_PROD
18_PT1281	WELL_D2_PROD
18_PT1281	WELL_D2_PROD
18_PT1281	WELL_D2_PROD
18_ESV0200	WELL_D2_PROD
18_ESV0200	WELL_D2_PROD
18_ESV0201	WELL_D2_PROD
18_ESV0201	WELL_D2_PROD
18_ESV0204	WELL_D2_PROD
18_ESV0204	WELL_D2_PROD
18_ESV0205	WELL_D2_PROD
18_ESV0205	WELL_D2_PROD
18_ESV0202	WELL_D2_PROD
18_ESV0202	WELL_D2_PROD
18_ESDV1210	WELL_D2_PROD
18_ESDV1210	WELL_D2_PROD
18_ESDV1211	WELL_D2_PROD
18_ESDV1211	WELL_D2_PROD
18_ESDV1212	WELL_D2_PROD
18_ESDV1212	WELL_D2_PROD
18_ESDV1213	WELL_D2_PROD
18_ESDV1213	WELL_D2_PROD
18_ESDV1214	WELL_D2_PROD
18_ESDV1214	WELL_D2_PROD
18_ESDV1203	WELL_D2_PROD
18_ESDV1203	WELL_D2_PROD
18_XT1206	WELL_D2_PROD
18_XT1206	WELL_D2_PROD
18_XT1206	WELL_D2_PROD
18_XT1206	WELL_D2_PROD
18_XT1206	WELL_D2_PROD
18_FCV0206	WELL_D2_PROD
18_FCV0206	WELL_D2_PROD
18_XT1207	WELL_D2_PROD
18_XT1207	WELL_D2_PROD
18_XT1207	WELL_D2_PROD
18_XT1207	WELL_D2_PROD
18_XT1207	WELL_D2_PROD
18_FCV0207	WELL_D2_PROD
18_FCV0207	WELL_D2_PROD
17_ER1200	WELL_D2_ESP_CTRL
17_ER1200	WELL_D2_ESP_CTRL
Head_D2	WELL_D2_ESP_CTRL
Head_D2	WELL_D2_ESP_CTRL
Head_D2	WELL_D2_ESP_CTRL
Flow_D2	WELL_D2_ESP_CTRL
Flow_D2	WELL_D2_ESP_CTRL
Flow_D2	WELL_D2_ESP_CTRL
17_TT1272	WELL_D2_ESP_CTRL
17_TT1272	WELL_D2_ESP_CTRL
17_TT1272	WELL_D2_ESP_CTRL
17_PT1270	WELL_D2_ESP_CTRL
17_PT1270	WELL_D2_ESP_CTRL
17_PT1270	WELL_D2_ESP_CTRL
17_TT1273	WELL_D2_ESP_CTRL
17_TT1273	WELL_D2_ESP_CTRL
17_TT1273	WELL_D2_ESP_CTRL
17_PT1271	WELL_D2_ESP_CTRL
17_PT1271	WELL_D2_ESP_CTRL
17_PT1271	WELL_D2_ESP_CTRL
17_TT1274	WELL_D2_ESP_CTRL
17_TT1274	WELL_D2_ESP_CTRL
17_TT1274	WELL_D2_ESP_CTRL
17_XS1231	WELL_D2_ESP_CTRL
17_XS1231	WELL_D2_ESP_CTRL
17_XS1231	WELL_D2_ESP_CTRL
17_XS1231	WELL_D2_ESP_CTRL
17_XS1231	WELL_D2_ESP_CTRL
17_XS1231	WELL_D2_ESP_CTRL
17_XS1230	WELL_D2_ESP_CTRL
17_XS1230	WELL_D2_ESP_CTRL
17_XS1230	WELL_D2_ESP_CTRL
17_XS1230	WELL_D2_ESP_CTRL
17_XS1230	WELL_D2_ESP_CTRL
17_XS1230	WELL_D2_ESP_CTRL
TORNADO_SPD2	WELL_D2_ESP_CTRL
TORNADO_SPD2	WELL_D2_ESP_CTRL
TORNADO_SPD2	WELL_D2_ESP_CTRL
18_PDTBackFlowD2	WELL_D2_PROD
18_PDTBackFlowD2	WELL_D2_PROD
18_PDTBackFlowD2	WELL_D2_PROD
18_PDTBackFlowD2	WELL_D2_PROD
18_PDTBackFlowD2	WELL_D2_PROD
18_PDTBackFlowD2	WELL_D2_PROD
18_PDTBackFlowD2	WELL_D2_PROD
18_PDTBackFlowD2	WELL_D2_PROD
18_PDTBackFlowD2	WELL_D2_PROD
18_PDTBackFlowD2	WELL_D2_PROD
Beta_WellPermissiveD2	BETA_PERMISSIVES
Beta_WellPermissiveD2	BETA_PERMISSIVES
Beta_WellPermissiveD2	BETA_PERMISSIVES
Beta_WellPermissiveD2	BETA_PERMISSIVES
Beta_WellPermissiveD2	BETA_PERMISSIVES
Beta_WellPermissiveD2	BETA_PERMISSIVES
SCP_1D2	BETA_PERMISSIVES
SCP_1D2	BETA_PERMISSIVES
SCP_1D2	BETA_PERMISSIVES
SCP_1D2	BETA_PERMISSIVES
SCP_1D2	BETA_PERMISSIVES
SCP_1D2	BETA_PERMISSIVES
SSP_2D2	BETA_PERMISSIVES
SSP_2D2	BETA_PERMISSIVES
SSP_2D2	BETA_PERMISSIVES
SSP_2D2	BETA_PERMISSIVES
SSP_2D2	BETA_PERMISSIVES
SSP_2D2	BETA_PERMISSIVES
SSP_3D2	BETA_PERMISSIVES
SSP_3D2	BETA_PERMISSIVES
SSP_3D2	BETA_PERMISSIVES
SSP_3D2	BETA_PERMISSIVES
SSP_3D2	BETA_PERMISSIVES
SSP_3D2	BETA_PERMISSIVES
SCP_3D2	BETA_PERMISSIVES
