Trend data for Model:	
Model time base:		8
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		23LIC0001:Measurement		23LIC0001:InternalSetpoint		23LIC0001:ControllerOutput		23LIC0002:Measurement		23LIC0002:InternalSetpoint		23LIC0002:ControllerOutput
Units		fract		fract		fract		fract		fract		fract
Legend titles												
1000		0.6495029		0.65		0.4159108		0.7489685		0.75		0.6598336
1008		0.6492461		0.65		0.3995669		0.7511935		0.75		0.6602596
1016		0.6477152		0.65		0.2995178		0.7503714		0.75		0.6600208
1024		0.644068		0.65		0.05926967		0.7484768		0.75		0.6595373
1032		0.6450442		0.65		0.1335349		0.7509547		0.75		0.6599893
1040		0.6476206		0.65		0.287887		0.7496822		0.75		0.6596903
1048		0.6498427		0.65		0.4258233		0.7513647		0.75		0.6600751
1056		0.6494783		0.65		0.4022394		0.7510421		0.75		0.6601178
1064		0.6458724		0.65		0.1713004		0.751477		0.75		0.6602763
1072		0.6425665		0.65		0		0.7490912		0.75		0.6598137
1080		0.6450245		0.65		0.1424231		0.7512633		0.75		0.6603063
1088		0.6480966		0.65		0.3284708		0.7524785		0.75		0.6606136
1096		0.6504252		0.65		0.4737307		0.7515941		0.75		0.6606284
1104		0.6486576		0.65		0.3623013		0.7526001		0.75		0.66105
1112		0.6461226		0.65		0.1972833		0.753883		0.75		0.6615219
1120		0.6435429		0.65		0.07204671		0.7513015		0.75		0.6611443
1128		0.6440021		0.65		0.101165		0.7524298		0.75		0.6615017
1136		0.649287		0.65		0.4277034		0.7550789		0.75		0.6622825
1144		0.6493005		0.65		0.4276749		0.7549754		0.75		0.6625531
1152		0.6463815		0.65		0.2405435		0.7543145		0.75		0.6627313
1160		0.6432425		0.65		0.03288797		0.7522903		0.75		0.6625682
1168		0.6444269		0.65		0.09606454		0.7533998		0.75		0.6630252
1176		0.6453501		0.65		0.1439723		0.7546345		0.75		0.6635332
1184		0.6502861		0.65		0.4512291		0.7561318		0.75		0.6641421
1192		0.6500222		0.65		0.4347427		0.7579428		0.75		0.6648892
1200		0.6479581		0.65		0.3026612		0.755989		0.75		0.6648239
1208		0.6440754		0.65		0.04899498		0.754188		0.75		0.6647577
1216		0.6444853		0.65		0.11667		0.7549634		0.75		0.6651958
1224		0.6449444		0.65		0.1425755		0.7530377		0.75		0.6650693
1232		0.6485529		0.65		0.3658892		0.7568822		0.75		0.6661975
1240		0.6492373		0.65		0.4092505		0.756177		0.75		0.6664336
1248		0.6467638		0.65		0.2487596		0.7545602		0.75		0.6663993
1256		0.6438335		0.65		0.05454846		0.7550893		0.75		0.6667271
1264		0.6435753		0.65		0.0764487		0.7545397		0.75		0.666818
1272		0.6467439		0.65		0.2666005		0.7527015		0.75		0.6666966
1280		0.6491399		0.65		0.4133602		0.7549462		0.75		0.6674601
1288		0.6493782		0.65		0.4267334		0.7536805		0.75		0.6675159
1296		0.6463107		0.65		0.2278906		0.755027		0.75		0.6680569
1304		0.6443918		0.65		0.09738531		0.7513028		0.75		0.6675073
1312		0.6439443		0.65		0.05750104		0.7544302		0.75		0.6683395
1320		0.6470107		0.65		0.2425119		0.7538952		0.75		0.6684258
1328		0.6491066		0.65		0.371354		0.7525376		0.75		0.6683632
1336		0.6483285		0.65		0.3219009		0.75382		0.75		0.6688029
1344		0.6461504		0.65		0.1804586		0.7526461		0.75		0.6687493
1352		0.6441273		0.65		0.04336792		0.7512442		0.75		0.6685834
1360		0.6453835		0.65		0.1226766		0.7520788		0.75		0.6688237
1368		0.6483011		0.65		0.3002322		0.7512012		0.75		0.6687756
1376		0.6504556		0.65		0.4340955		0.7517845		0.75		0.6689916
1384		0.6493064		0.65		0.3601832		0.7519837		0.75		0.6691494
1392		0.6478028		0.65		0.2616057		0.7504142		0.75		0.6688665
1400		0.645383		0.65		0.1005978		0.7478674		0.75		0.6683255
1408		0.6458014		0.65		0.1177436		0.7499598		0.75		0.668739
1416		0.649104		0.65		0.3215467		0.750704		0.75		0.6689027
1424		0.6507478		0.65		0.4253927		0.7502004		0.75		0.6688316
1432		0.6479456		0.65		0.2471103		0.7507165		0.75		0.668973
1440		0.6469063		0.65		0.1761534		0.7479414		0.75		0.6683646
1448		0.6464985		0.65		0.1432295		0.7494547		0.75		0.668574
1456		0.6486324		0.65		0.2705074		0.7465587		0.75		0.6678321
1464		0.6486552		0.65		0.2694019		0.7492944		0.75		0.6683015
1472		0.6507765		0.65		0.4049701		0.7514061		0.75		0.668646
1480		0.6485593		0.65		0.2645026		0.7461509		0.75		0.6674772
1488		0.6461595		0.65		0.1079261		0.7471133		0.75		0.667538
1496		0.64543		0.65		0.05294058		0.7468022		0.75		0.6672912
1504		0.6481654		0.65		0.2191532		0.7490529		0.75		0.6675605
1512		0.6510787		0.65		0.4022155		0.7494586		0.75		0.6675265
1520		0.6507594		0.65		0.385474		0.7481921		0.75		0.6671344
1528		0.6493263		0.65		0.295592		0.7470493		0.75		0.6667166
1536		0.646562		0.65		0.1157408		0.7452639		0.75		0.6661238
1544		0.6462928		0.65		0.1066253		0.7446794		0.75		0.665753
1552		0.6489012		0.65		0.2645873		0.7467668		0.75		0.665938
1560		0.651927		0.65		0.4547814		0.7480943		0.75		0.6659735
1568		0.6519159		0.65		0.4576379		0.7455376		0.75		0.6653002
1576		0.6477379		0.65		0.1940086		0.7464989		0.75		0.6653118
1584		0.6453571		0.65		0.03865919		0.7459044		0.75		0.6648951
1592		0.64562		0.65		0.04894177		0.7448065		0.75		0.6643469
1600		0.6485427		0.65		0.2306782		0.7470052		0.75		0.6644941
1608		0.6518767		0.65		0.4412534		0.7477109		0.75		0.6644582
1616		0.6528923		0.65		0.5090518		0.7467544		0.75		0.6640602
1624		0.6499028		0.65		0.3214023		0.7471058		0.75		0.6639206
1632		0.64513		0.65		0.01415091		0.7426348		0.75		0.662743
1640		0.6455452		0.65		0.07259906		0.7439513		0.75		0.6626854
1648		0.6496762		0.65		0.3278032		0.747596		0.75		0.6631622
1656		0.6509112		0.65		0.4052255		0.7483755		0.75		0.663182
1664		0.6516989		0.65		0.4569959		0.7477645		0.75		0.6628878
1672		0.6477644		0.65		0.2080649		0.748803		0.75		0.662948
1680		0.6465199		0.65		0.1236248		0.7463443		0.75		0.6622122
1688		0.6466114		0.65		0.1207854		0.7453556		0.75		0.6617636
1696		0.6475775		0.65		0.1753235		0.7470917		0.75		0.6619011
1704		0.6518855		0.65		0.4480692		0.7464411		0.75		0.6616
1712		0.6519634		0.65		0.4555176		0.7487819		0.75		0.6619836
1720		0.6487025		0.65		0.2483487		0.7471576		0.75		0.6615599
1728		0.6464635		0.65		0.1020829		0.7508054		0.75		0.6621922
1736		0.6470324		0.65		0.1314923		0.7477789		0.75		0.6614344
1744		0.6489062		0.65		0.2457871		0.7491782		0.75		0.6616576
1752		0.6503514		0.65		0.3365075		0.7504632		0.75		0.6618738
1760		0.6507062		0.65		0.3610974		0.7500527		0.75		0.6617709
1768		0.6480715		0.65		0.1943863		0.7475412		0.75		0.6612272
1776		0.6480545		0.65		0.1873417		0.7481378		0.75		0.661301
1784		0.6469103		0.65		0.1092435		0.7491507		0.75		0.6614569
1792		0.6496431		0.65		0.2790003		0.750382		0.75		0.6616944
1800		0.6529618		0.65		0.4897362		0.7515337		0.75		0.661961
