Trend data for Model:	
Model time base:		8
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		23LIC0001:Measurement		23LIC0001:InternalSetpoint		23LIC0001:ControllerOutput		23LIC0002:Measurement		23LIC0002:InternalSetpoint		23LIC0002:ControllerOutput
Units		fract		fract		fract		fract		fract		fract
Legend titles												
952		0.600131		0.6		0.2457829		0.8008017		0.8		0.6693274
960		0.6000156		0.6		0.2443764		0.7994716		0.8		0.6611969
968		0.6003548		0.6		0.2483198		0.8014181		0.8		0.6729343
976		0.5996595		0.6		0.2404035		0.8002964		0.8		0.6660861
984		0.601396		0.6		0.2604315		0.8012085		0.8		0.6720816
992		0.5978382		0.6		0.2195656		0.799059		0.8		0.6590482
1000		0.6004517		0.6		0.2496161		0.8001298		0.8		0.6655028
1008		0.6002521		0.6		0.2474389		0.8018278		0.8		0.675246
1016		0.6003933		0.6		0.2490628		0.7985736		0.8		0.6557386
1024		0.6004016		0.6		0.2491801		0.7997209		0.8		0.6624101
1032		0.6006457		0.6		0.2520388		0.8014361		0.8		0.6728676
1040		0.6003106		0.6		0.2480563		0.8006343		0.8		0.6682795
1048		0.599928		0.6		0.2435533		0.7994826		0.8		0.6611737
1056		0.5995876		0.6		0.2395589		0.8005825		0.8		0.6676921
1064		0.6005226		0.6		0.2503598		0.8009397		0.8		0.6699988
1072		0.6000438		0.6		0.2449567		0.7997373		0.8		0.6629064
1080		0.5996386		0.6		0.2403217		0.7996125		0.8		0.6623047
1088		0.5999543		0.6		0.2440772		0.7985175		0.8		0.655786
1096		0.6005828		0.6		0.2513337		0.8011215		0.8		0.6714004
1104		0.5994442		0.6		0.2381851		0.801769		0.8		0.6750905
1112		0.6001383		0.6		0.2461559		0.8005892		0.8		0.6681361
1120		0.6013944		0.6		0.2606141		0.8006252		0.8		0.6688519
1128		0.5996911		0.6		0.2409049		0.7977211		0.8		0.6511955
1136		0.6006831		0.6		0.252298		0.7995781		0.8		0.6623386
1144		0.6006007		0.6		0.2512442		0.8006959		0.8		0.6689749
1152		0.600544		0.6		0.2506959		0.7985765		0.8		0.6559262
1160		0.5990406		0.6		0.2333312		0.801436		0.8		0.6728667
1168		0.5996788		0.6		0.2406917		0.798086		0.8		0.6528055
1176		0.6009906		0.6		0.2558652		0.7983738		0.8		0.6547428
1184		0.5996999		0.6		0.2409816		0.7983651		0.8		0.6544072
1192		0.6012323		0.6		0.2585939		0.8009094		0.8		0.6700674
1200		0.6007015		0.6		0.2527064		0.8007728		0.8		0.6694404
1208		0.6003132		0.6		0.2483391		0.7988613		0.8		0.6579122
1216		0.6007556		0.6		0.2534592		0.8020425		0.8		0.6771018
1224		0.5999105		0.6		0.243652		0.7992448		0.8		0.6605468
1232		0.5998343		0.6		0.2427056		0.7989224		0.8		0.6582252
1240		0.5985253		0.6		0.2274847		0.7989843		0.8		0.6588051
1248		0.5986801		0.6		0.2291771		0.7992113		0.8		0.6600103
1256		0.5981486		0.6		0.2231504		0.8000824		0.8		0.6650651
1264		0.6002288		0.6		0.2471616		0.8013423		0.8		0.6727459
1272		0.6004533		0.6		0.2497518		0.7998184		0.8		0.6633913
1280		0.5998704		0.6		0.2432047		0.7991793		0.8		0.6594342
1288		0.6008671		0.6		0.2547157		0.8017389		0.8		0.6749655
1296		0.6005936		0.6		0.2516237		0.8014218		0.8		0.6731039
1304		0.5999561		0.6		0.2442684		0.8008344		0.8		0.6696603
1312		0.5995321		0.6		0.2393532		0.7999178		0.8		0.6646
1320		0.5996233		0.6		0.2403339		0.8017911		0.8		0.6754813
1328		0.600309		0.6		0.2481724		0.8016089		0.8		0.6743041
1336		0.5992391		0.6		0.2357796		0.799005		0.8		0.658854
1344		0.6004166		0.6		0.2493514		0.7999894		0.8		0.6648971
1352		0.5990649		0.6		0.2337746		0.8000501		0.8		0.6650563
1360		0.6000332		0.6		0.2449526		0.8001736		0.8		0.6655283
1368		0.5983689		0.6		0.2258314		0.7998551		0.8		0.6634041
1376		0.6001663		0.6		0.2464977		0.800405		0.8		0.6666747
1384		0.5986597		0.6		0.2291997		0.8004013		0.8		0.6669055
1392		0.5986091		0.6		0.22856		0.7999366		0.8		0.6643568
1400		0.6011865		0.6		0.2581834		0.8014578		0.8		0.6734069
1408		0.6001197		0.6		0.2459463		0.80112		0.8		0.6715376
1416		0.6002551		0.6		0.2474938		0.7992626		0.8		0.6600709
1424		0.6010267		0.6		0.256429		0.7996096		0.8		0.6621862
1432		0.5996168		0.6		0.240297		0.7998886		0.8		0.6639336
1440		0.5996754		0.6		0.2410001		0.8009613		0.8		0.6705914
1448		0.5993946		0.6		0.2376154		0.7990941		0.8		0.6595421
1456		0.5999322		0.6		0.243861		0.7996186		0.8		0.6626436
1464		0.5992225		0.6		0.2356795		0.7995037		0.8		0.6618609
1472		0.5993267		0.6		0.2368688		0.7990338		0.8		0.6586689
1480		0.5995669		0.6		0.2397448		0.7996752		0.8		0.662187
1488		0.6001626		0.6		0.2465872		0.8011854		0.8		0.671367
1496		0.5988626		0.6		0.231663		0.8000781		0.8		0.6648047
